SINO,JOb_Title,Position,Company,Location,State,Address
55,Developer and Data Scientist,Full-Time,Battelle Memorial Institute,"Seattle, WA",WA,"Seattle,"
56,Data Scientist - Technology Development,Full-Time,Direct Energy,"Seattle, WA


View 1 more",WA,"Seattle,Seattle,View1more"
57,Visual Data Scientist,Full-Time,Confidential,"Dearborn, MI",MI,"Dearborn,"
58,Principal Data Scientist,Full-Time | Pay: $130k - $170k/year,Confidential,"Watertown, MA",MA,"Watertown,"
59,Data Scientist,Full-Time,Deloitte,"Arlington, VA


View 2 more",VA,"Watertown,Arlington,View2more"
60,Lead Data Scientist,Full-Time,UPS IT,"Mahwah, NJ",NJ,"Mahwah,"
61,"Data Scientist, Subscriber Growth",Full-Time | Pay: $145k - $160k/year,Madison Black,"Santa Monica, CA",CA,"SantaMonica,"
62,Sr. Data Scientist,Full-Time,Caliber Home Loans,"3701 Regent Boulevard

Irving, TX",TX,"SantaMonica,3701RegentBoulevardIrving,"
63,"Clinical Data Scientist, Genomics",Full-Time,Stanford Health Care,"Palo Alto, CA


View 8 more",CA,"SantaMonica,3701RegentBoulevardIrving,PaloAlto,View8more"
64,Data Scientist - Machine Learning Engineer,Full-Time | Pay: $60.00 - $90.00/hour,"Computer Enterprises, Inc. (CEI)","Denver, CO",CO,"Denver,"
65,Senior Data Scientist - SAP HANA,Contractor,The Select Group,"Charlotte, NC",NC,"Charlotte,"
66,Data Scientist - Fitness & Health,Full-Time,Apple Inc.,"Cupertino, CA",CA,"Cupertino,"
67,Machine Learning - Data Scientist,Full-Time,Austin Fraser,"Austin, TX",TX,"Austin,"
68,Data Scientist - Office,Contractor | Pay: $33.00 - $38.34/hour,Evergent Group,"Carlsbad, CA",CA,"Carlsbad,"
69,Senior Data Scientist,Full-Time,H&R Block Corporate,"One H&R Block Way

Kansas City, MO",CA,"Carlsbad,"
70,Principal Data Scientist,Full-Time,Kforce Technology,"Austin, TX",TX,"Austin,"
71,Senior Data Scientist,Full-Time | Pay: $100k - $160k/year,Olivier James Associates,"Charlotte, NC


View 1 more",NC,"Austin,Charlotte,View1more"
72,Data Scientist with NLP Experience,Full-Time,EXL Service,"10 Exchange Place

Jersey City, NJ",NJ,"Austin,Charlotte,View1moreExchangePlaceJerseyCity,"
73,Data Analysis Scientist,Full-Time | Pay: $50k - $64k/year,Medix,"Libertyville, IL",IL,"Libertyville,"
74,Data Scientist - Top Secret/SCI,Full-Time,SouthTek Resources LLC,"McLean, VA",VA,"McLean,"
75,"Senior Data Scientist, Medical Safety",Full-Time,Johnson & Johnson,"Montgomery, NJ


View 2 more",NJ,"McLean,Montgomery,View2more"
76,"Data Scientist - I, II, Lead",Full-Time,Federal Reserve Bank of Cleveland,"Cleveland, OH",OH,"Cleveland,"
77,Big Data Scientist: Hadoop Developer,Contractor,ATR International,"San Francisco, CA",CA,"SanFrancisco,"
78,Data Scientist - Mid-Level,Full-Time,National Security Agency (NSA),"Fort Meade, MD",MD,"FortMeade,"
79,Labs - Data Scientist - Consultant,Full-Time,"MARSH & MCLENNAN COMPANIES, INC","New York, NY",NY,"NewYork,"
80,Data Scientist II,Full-Time,Grange Insurance,"Columbus, OH",OH,"Columbus,"
81,Journeyman - Data Scientist,Full-Time,Vencore,"Springfield, VA",VA,"Springfield,"
82,Data Scientist Specialist,Full-Time,Deloitte,"Arlington, VA",VA,"Arlington,"
83,Data Scientist - Decision Science Support,Full-Time,MSX International,"Dearborn, MI",MI,"Dearborn,"
84,Data Analyst/Scientist,Full-Time | Pay: $120k - $140k/year,Brooksource,"American Fork, UT",UT,"AmericanFork,"
85,Principal Data Scientist - Facility - MN or Telecommute,Full-Time,UnitedHealth Group,"Eden Prairie, MN


View 6 more",MN,"AmericanFork,EdenPrairie,View6more"
86,Data Scientist Lead,Full-Time,Safe Auto Ins Group Inc,"Columbus, OH",OH,"Columbus,"
87,Data Scientist - RPA and Artifical Intelligence,Full-Time,Genpact,"Danbury, CT",CT,"Danbury,"
88,Sr. Business Systems Analyst/Data Scientist,Full-Time,Kelly Services,"Franklin, TN",TN,"Franklin,"
89,Data Scientist/Modeling - Applied Technology - 13623,Full-Time,Crowe Horwath LLP,"Chicago, IL


View 3 more",IL,"Franklin,Chicago,View3more"
90,Data Scientist (Advanced Operations Analytics),Full-Time,Ford Motor Company,"Dearborn, MI",MI,"Dearborn,"
91,QC Data Review Scientist,Full-Time,Medix,"Libertyville, IL",IL,"Libertyville,"
92,Clinical Data Analyst/Scientist/Engineer,Full-Time,Volt,"Minneapolis, MN",MN,"Minneapolis,"
