SINO,JOb_Title,Position,Company,Location,State,Address
218,Quality Control Associate Scientist,Contractor,Apex Life Sciences,"Morrisville, NC",NC,"Morrisville,"
219,Staff Clinical Research Scientist - Principal Clinical Research Associate (CRA),Full-Time,Johnson & Johnson,"Irvine, CA",CA,"Irvine,"
220,Sr. Associate Scientist (Analytical Stability),Full-Time,Catalent Pharma Solutions,"Morrisville, NC",NC,"Morrisville,"
221,"Bioanalytical Scientist / Chemist, San Diego, CA",Full-Time,Kelly Scientific Resources,"San Diego, CA


View 3 more",CA,"Morrisville,SanDiego,View3more"
222,Associate Scientist Microbiology 4th & 5th Shift (weekends),Full-Time | Pay: $17.00 - $20.00/hour,Fresenius Kabi,"3159 Staley Road

Grand Island, NY",NY,"Morrisville,SanDiego,View3more3159StaleyRoadGrandIsland,"
223,Senior Scientist,Contractor,PSCI,"Wilmington, DE",DE,"Wilmington,"
224,QC Scientist,Contractor,Apex Life Sciences,"GREENVILLE, SC


View 4 more",SC,"Wilmington,GREENVILLE,View4more"
225,Staff Sterilization Scientist,Full-Time,Johnson & Johnson,"Somerville, NJ",NJ,"Somerville,"
226,"Senior Scientist, Pharmacology",Full-Time,The Judge Group,"Cambridge, MA",MA,"Cambridge,"
227,Associate Scientist Chemistry,Contractor,Fladger Associates,"Mount Vernon, IN",IN,"MountVernon,"
228,QTS Senior Scientist,Full-Time | Pay: $95k - $110k/year,Volt,"West Caldwell, NJ",NJ,"WestCaldwell,"
229,Clinical Research Scientist- 1 day remote,Full-Time,Real Staffing,"Woodcliff Lake, NJ",NJ,"WoodcliffLake,"
230,BIOANALYSIS ASSOCIATE SCIENTIST,Contractor | Pay: $20.00 - $24.29/hour,Alpha Consulting,"Mountain View, CA",CA,"MountainView,"
231,"Research Scientist, Senior",Full-Time,Sotera Defense Solutions,"Washington, DC",DC,"Washington,"
232,Associate Scientist,Full-Time,Eurofins,"South Bend, IN


View 1 more",IN,"Washington,SouthBend,View1more"
233,Associate Scientist 2nd Shift,Full-Time,Eurofins,"Lancaster, PA",PA,"Lancaster,"
234,Entry Level Formulation Scientist,Full-Time,Eurofins,"West Point, PA",PA,"WestPoint,"
235,In-Process Testing Scientist (1st or 3rd Shift),Full-Time,Eurofins,"Durham, NC",NC,"Durham,"
236,Senior Scientist - Container Closure Integrity (CCI),Full-Time,Eurofins,"Lancaster, PA


View 1 more",PA,"Durham,Lancaster,View1more"
237,Postdoc Scientist for Modeling and Simulation,Full-Time,Eurofins,"Richmond, VA",VA,"Richmond,"
238,Quality Control Raw Materials Scientist - Compendial,Full-Time,Eurofins,"West Greenwich, RI",RI,"WestGreenwich,"
239,Scientist,Full-Time,Aerotek,"Kansas City, MO",MO,"KansasCity,"
240,Staff Clinical Research Scientist - Mentor,Full-Time,Johnson & Johnson,"Irvine, CA",CA,"Irvine,"
241,Senior Prinicipal Scientist - High Throughput Screening (HTS),Full-Time,Johnson & Johnson,"San Diego, CA


View 1 more",CA,"Irvine,SanDiego,View1more"
242,Process Development Scientist,Full-Time/Part-Time,SRG Woolf,"Columbia, MD",MD,"Columbia,"
243,Research Encapsulation Scientist,Full-Time,Zing! Recruiting,"Teterboro, NJ",NJ,"Teterboro,"
244,Staff Engineer/Geologist/Scientist,Full-Time,GHD,"Concord, CA",CA,"Concord,"
245,Scientist,Full-Time,Kelly Scientific Resources,"Cleveland, OH


View 1 more",OH,"Concord,Cleveland,View1more"
246,Associate Scientist Chemistry 1st Shift,Full-Time | Pay: $18.00 - $20.00/hour,Fresenius Kabi,"3159 Staley Road

Grand Island, NY",NY,"Concord,Cleveland,View1more3159StaleyRoadGrandIsland,"
247,Associate Scientist I,Contractor,Yoh,"Redwood City, CA",CA,"RedwoodCity,"
248,Scientist I,Full-Time | Pay: $50k/year,The Hartz Mountain Corporation,"640 Gotham Parkway

Carlstadt, NJ",NJ,"RedwoodCity,640GothamParkwayCarlstadt,"
249,Scientist - Protien,Full-Time,Yoh,"Santa Clara, CA",CA,"SantaClara,"
250,Staff Clinical Research Scientist - Principal Clinical Research Associate (CRA),Full-Time,Johnson & Johnson,"Irvine, CA",CA,"Irvine,"
251,Sr. Associate Scientist (Analytical Stability),Full-Time,Catalent Pharma Solutions,"Morrisville, NC",NC,"Morrisville,"
252,"Bioanalytical Scientist / Chemist, San Diego, CA",Full-Time,Kelly Scientific Resources,"San Diego, CA


View 3 more",CA,"Morrisville,SanDiego,View3more"
253,Associate Scientist Microbiology 4th & 5th Shift (weekends),Full-Time | Pay: $17.00 - $20.00/hour,Fresenius Kabi,"3159 Staley Road

Grand Island, NY",NY,"Morrisville,SanDiego,View3more3159StaleyRoadGrandIsland,"
254,Senior Scientist,Contractor,PSCI,"Wilmington, DE",DE,"Wilmington,"
255,QC Scientist,Contractor,Apex Life Sciences,"GREENVILLE, SC


View 4 more",SC,"Wilmington,GREENVILLE,View4more"
256,Staff Sterilization Scientist,Full-Time,Johnson & Johnson,"Somerville, NJ",NJ,"Somerville,"
257,"Senior Scientist, Pharmacology",Full-Time,The Judge Group,"Cambridge, MA",MA,"Cambridge,"
258,Associate Scientist Chemistry,Contractor,Fladger Associates,"Mount Vernon, IN",IN,"MountVernon,"
259,QTS Senior Scientist,Full-Time | Pay: $95k - $110k/year,Volt,"West Caldwell, NJ",NJ,"WestCaldwell,"
260,Clinical Research Scientist- 1 day remote,Full-Time,Real Staffing,"Woodcliff Lake, NJ",NJ,"WoodcliffLake,"
261,BIOANALYSIS ASSOCIATE SCIENTIST,Contractor | Pay: $20.00 - $24.29/hour,Alpha Consulting,"Mountain View, CA",CA,"MountainView,"
262,"Research Scientist, Senior",Full-Time,Sotera Defense Solutions,"Washington, DC",DC,"Washington,"
263,Associate Scientist 2nd Shift,Full-Time,Eurofins,"Lancaster, PA",PA,"Lancaster,"
264,Entry Level Formulation Scientist,Full-Time,Eurofins,"West Point, PA",PA,"WestPoint,"
265,In-Process Testing Scientist (1st or 3rd Shift),Full-Time,Eurofins,"Durham, NC",NC,"Durham,"
266,Senior Scientist - Container Closure Integrity (CCI),Full-Time,Eurofins,"Lancaster, PA


View 1 more",PA,"Durham,Lancaster,View1more"
267,Postdoc Scientist for Modeling and Simulation,Full-Time,Eurofins,"Richmond, VA",VA,"Richmond,"
268,Quality Control Raw Materials Scientist - Compendial,Full-Time,Eurofins,"West Greenwich, RI",RI,"WestGreenwich,"
269,Scientist,Full-Time,Aerotek,"Kansas City, MO",MO,"KansasCity,"
270,Staff Clinical Research Scientist - Mentor,Full-Time,Johnson & Johnson,"Irvine, CA",CA,"Irvine,"
271,Senior Prinicipal Scientist - High Throughput Screening (HTS),Full-Time,Johnson & Johnson,"San Diego, CA


View 1 more",CA,"Irvine,SanDiego,View1more"
272,Process Development Scientist,Full-Time/Part-Time,SRG Woolf,"Columbia, MD",MD,"Columbia,"
273,Research Encapsulation Scientist,Full-Time,Zing! Recruiting,"Teterboro, NJ",NJ,"Teterboro,"
274,Staff Engineer/Geologist/Scientist,Full-Time,GHD,"Concord, CA",CA,"Concord,"
275,QC Scientist,Full-Time,Yoh,"Zebulon, NC",NC,"Zebulon,"
276,QC Environmental Monitoring Scientist,Contractor | Pay: $27.00 - $31.50/hour,Confidential,"Zebulon, NC",NC,"Zebulon,"
277,"Medical Technologist ASCP (Medical Laboratory Scientist) - Full Time - Evening $5,000 Sign On Bonus for Qualified Candidates",Full-Time,Research Medical Center,"Kansas City, MO


View 6 more",MO,"Zebulon,KansasCity,View6more"
278,"Associate Scientist, Biotherapeutics",Contractor,Apex Life Sciences,"San Diego, CA


View 1 more",CA,"Zebulon,KansasCity,View6moreSanDiego,View1more"
279,Applied Scientist- Direct Hire!,Full-Time | Pay: $150k - $170k/year,Volt,"Boston, MA",MA,"Boston,"
280,Principal Scientist / Principal Engineer,Full-Time,WuXi AppTec,"1209 Kennestone Circle

Marietta, GA",GA,"Boston,1209KennestoneCircleMarietta,"
281,"Sr. Scientist, Product Development",Full-Time,The Nature's Bounty Co.,"Ridgefield Park, NJ",NJ,"RidgefieldPark,"
282,Senior Scientist,Full-Time,Real Staffing,"Wilmington, DE",DE,"Wilmington,"
283,Operations Research Scientist,Full-Time,Battelle Memorial Institute,"Columbus, OH


View 2 more",OH,"Wilmington,Columbus,View2more"
284,Process Scientist I,Contractor,Yoh,"Fremont, CA


View 3 more",CA,"Wilmington,Columbus,View2moreFremont,View3more"
285,Scientist-Formulations,Full-Time | Pay: $33.00 - $41.00/hour,Aerotek,"Gaithersburg, MD",MD,"Gaithersburg,"
286,Jr. Scientist - Biotech Manufacturing,Full-Time | Pay: $20.00 - $21.00/hour,Staffing Network,"Chicago, IL",IL,"Chicago,"
287,Developmental Scientist (NCI),Full-Time,"Leidos Biomedical Research, Inc.","Bethesda, MD",MD,"Bethesda,"
288,"Environmental Task Manager (Engineer, Scientist, or Geologist)",Full-Time,Arcadis,"Hanover, MD",MD,"Hanover,"
289,"Environmental Scientist, Environmental Engineer or Geologist",Full-Time,Arcadis,"Knoxville, TN


View 3 more",TN,"Hanover,Knoxville,View3more"
290,Associate Scientist II Immuno-Pharmacology,Full-Time,Johnson & Johnson,"San Diego, CA",CA,"SanDiego,"
291,Patient Safety Surveillance Scientist,Contractor,Alpha Consulting,"Wilmington, DE",DE,"Wilmington,"
292,Manufacturing Scientist I,Contractor,Apex Life Sciences,"Temecula California, CA


View 1 more",CA,"Wilmington,TemeculaCalifornia,View1more"
293,Associate Scientist,Contract to Hire | Pay: $25.00/hour,Open Scientific,"Miami, FL",FL,"Miami,"
294,Scientist,Contractor,"Integrated Resources, Inc","North Reading, MA",MA,"NorthReading,"
295,R&D Food Scientist,Full-Time | Pay: $75k - $100k/year,PointOne Recruiting Solutions,"Eustis, FL",FL,"Eustis,"
296,Associate Scientist I,Contractor,Yoh,"Morris Plains, New Jersey, NJ",NJ,"Eustis,MorrisPlains,NewJersey,"
297,Materials Scientist – Chemical Engineer,Full-Time,MSX International,"Dearborn, MI",MI,"Dearborn,"
298,Environmental Scientist/Engineer,Full-Time,GHD,"Green Bay, WI


View 2 more",WI,"Dearborn,GreenBay,View2more"
299,Product Development Scientist,Full-Time | Pay: $35.00 - $40.00/hour,Innovative Career Resources,"17581 Irvine Boulevard

Tustin, CA",CA,"Dearborn,GreenBay,View2more17581IrvineBoulevardTustin,"
300,Scientist I,Full-Time,Apex Life Sciences,"MONROEVILLE, PA


View 3 more",PA,"Dearborn,GreenBay,View2more17581IrvineBoulevardTustin,MONROEVILLE,View3more"
301,"Associate Scientist, Metabolism",Full-Time,Kelly Scientific Resources,"Plainsboro Center, NJ",NJ,"PlainsboroCenter,"
302,Scientist/Lab Technician,Full-Time,Adecco Engineering & Technology,"Stoughton, MA",MA,"Stoughton,"
303,Air Pollution Scientist,Full-Time,Arcadis,"Branchburg, NJ",NJ,"Branchburg,"
304,Medical Laboratory Scientist,Full-Time,Rapides Regional Medical Center,"Alexandria, LA",LA,"Alexandria,"
305,Scientist I - Small Molecule,Full-Time,Spencer Reed Group,"Overland Park, KS",KS,"OverlandPark,"
306,Geoscientist/Soil Scientist,Full-Time,RETTEW,"Allentown, PA


View 1 more",PA,"OverlandPark,Allentown,View1more"
307,"GC-MS/LC-MS Scientist, West Chester, PA",Full-Time,SGS North America,"West Chester, PA",PA,"WestChester,"
308,Principal Project Manager - Scientist,Full-Time,Johnson & Johnson,"Somerville, NJ",NJ,"Somerville,"
309,Principal Scientist,Full-Time,Johnson & Johnson,"San Diego, CA",CA,"SanDiego,"
310,"Environmental Scientist, Senior Level",Full-Time,Resource Options Inc.,"Franklin Township, NJ",NJ,"FranklinTownship,"
311,Microbiology Clinical Trial Scientist,Full-Time,"Biomerieux , Inc.","St. Louis, MO


View 1 more",MO,"FranklinTownship,St.Louis,View1more"
312,Biologics Analytical Scientist,Full-Time,The Judge Group,"South Plainfield, NJ",NJ,"SouthPlainfield,"
313,Principal Scientist,Full-Time,Apex Life Sciences,"Rockville, MD",MD,"Rockville,"
314,Scientist (Quality Control),Full-Time,COOK PHARMICA,"Bloomington, IN",IN,"Bloomington,"
315,Scientist III Mammalian Cell Culture,Contractor,Apex Life Sciences,"San Diego, CA",CA,"SanDiego,"
316,Computational Scientist I,Full-Time,Enel Green Power- North America,"Bend, OR",OR,"Bend,"
317,Principal Computer Scientist,Full-Time,Superior Group,"Annapolis Junction, MD",MD,"AnnapolisJunction,"
318,Associate Scientist of Analytical Research,Contract to Hire | Pay: $50k - $55k/year,Open Scientific,"Miami, FL",FL,"Miami,"
319,Formulations Scientist,Contractor,Apex Life Sciences,"Fort Worth, TX",TX,"FortWorth,"
320,Research Scientist,Full-Time,GAF Materials Corporation,"Parsippany-Troy Hills, NJ",NJ,"Parsippany-TroyHills,"
321,Systems Engineer/Scientist,Full-Time,ManTech International Corporation,"Washington, DC


View 1 more",DC,"Parsippany-TroyHills,Washington,View1more"
322,Sr. Product Development Scientist,Full-Time,Apex Life Sciences,"CINCINNATI, OH",OH,"CINCINNATI,"
323,Pharmacovigilance Scientist II w/Aggregate reports Writing experience,Full-Time,Pioneer Data Systems Inc,"Raritan, NJ",NJ,"Raritan,"
324,Data Scientist/Data Wrangler,Full-Time,Deloitte,"Arlington, VA",VA,"Arlington,"
325,Associate Scientist I,Contractor,Yoh,"Morris Plains, New Jersey, NJ",NJ,"Arlington,MorrisPlains,NewJersey,"
326,Materials Scientist – Chemical Engineer,Full-Time,MSX International,"Dearborn, MI",MI,"Dearborn,"
327,Environmental Scientist/Engineer,Full-Time,GHD,"Green Bay, WI


View 2 more",WI,"Dearborn,GreenBay,View2more"
328,Product Development Scientist,Full-Time | Pay: $35.00 - $40.00/hour,Innovative Career Resources,"17581 Irvine Boulevard

Tustin, CA",CA,"Dearborn,GreenBay,View2more17581IrvineBoulevardTustin,"
329,Scientist I,Full-Time,Apex Life Sciences,"MONROEVILLE, PA


View 3 more",PA,"Dearborn,GreenBay,View2more17581IrvineBoulevardTustin,MONROEVILLE,View3more"
330,"Associate Scientist, Metabolism",Full-Time,Kelly Scientific Resources,"Plainsboro Center, NJ",NJ,"PlainsboroCenter,"
331,Scientist/Lab Technician,Full-Time,Adecco Engineering & Technology,"Stoughton, MA",MA,"Stoughton,"
332,Air Pollution Scientist,Full-Time,Arcadis,"Branchburg, NJ",NJ,"Branchburg,"
333,Medical Laboratory Scientist,Full-Time,Rapides Regional Medical Center,"Alexandria, LA",LA,"Alexandria,"
334,Scientist I - Small Molecule,Full-Time,Spencer Reed Group,"Overland Park, KS",KS,"OverlandPark,"
335,Geoscientist/Soil Scientist,Full-Time,RETTEW,"Williamsport, PA


View 1 more",PA,"OverlandPark,Williamsport,View1more"
336,"GC-MS/LC-MS Scientist, West Chester, PA",Full-Time,SGS North America,"West Chester, PA",PA,"WestChester,"
337,Principal Project Manager - Scientist,Full-Time,Johnson & Johnson,"Somerville, NJ",NJ,"Somerville,"
338,Principal Scientist,Full-Time,Johnson & Johnson,"San Diego, CA",CA,"SanDiego,"
339,"Environmental Scientist, Senior Level",Full-Time,Resource Options Inc.,"Franklin Township, NJ",NJ,"FranklinTownship,"
340,Microbiology Clinical Trial Scientist,Full-Time,"Biomerieux , Inc.","St. Louis, MO


View 1 more",MO,"FranklinTownship,St.Louis,View1more"
341,Biologics Analytical Scientist,Full-Time,The Judge Group,"South Plainfield, NJ",NJ,"SouthPlainfield,"
342,Principal Scientist,Full-Time,Apex Life Sciences,"Rockville, MD",MD,"Rockville,"
343,Scientist (Quality Control),Full-Time,COOK PHARMICA,"Bloomington, IN",IN,"Bloomington,"
344,Scientist III Mammalian Cell Culture,Contractor,Apex Life Sciences,"San Diego, CA",CA,"SanDiego,"
345,Computational Scientist I,Full-Time,Enel Green Power- North America,"Bend, OR",OR,"Bend,"
346,Principal Computer Scientist,Full-Time,Superior Group,"Annapolis Junction, MD",MD,"AnnapolisJunction,"
347,Associate Scientist of Analytical Research,Contract to Hire | Pay: $50k - $55k/year,Open Scientific,"Miami, FL",FL,"Miami,"
348,Formulations Scientist,Contractor,Apex Life Sciences,"Fort Worth, TX",TX,"FortWorth,"
349,Research Scientist,Full-Time,GAF Materials Corporation,"Parsippany-Troy Hills, NJ",NJ,"Parsippany-TroyHills,"
350,Research Scientist- Ectoxicology Team lead,Full-Time,Apex Life Sciences,"Stilwell, KS",KS,"Stilwell,"
351,Analytical Scientist,Contractor | Pay: $20.00 - $25.00/hour,"The Staffing Resource Group, Inc","Miami, FL",FL,"Miami,"
352,Scientist - Analytical III,Full-Time,Real Staffing,"Richmond, VA",VA,"Richmond,"
353,Associate Scientist,Full-Time,"QPS, LLC.","110 Executive Drive

Newark, DE",DE,"Richmond,110ExecutiveDriveNewark,"
354,"Engineer/Staff Scientist Mid-Senior Level, Salem, NH, SP",Full-Time,Tetra Tech,"Salem, NH",NH,"Salem,"
355,Technology Fundamental and Integration RD&E Scientist/Engineer,Full-Time,Corning,"Corning, NY


View 2 more",NY,"Salem,Corning,View2more"
356,Research Scientist Statistician,Full-Time,Battelle Memorial Institute,"Columbus, OH",OH,"Columbus,"
357,Statistician / Business Intelligence Scientist,Full-Time,Ford Motor Company,"Dearborn, MI",MI,"Dearborn,"
358,"RESEARCH SCIENTIST - HELIOPHYSICS - BOULDER, COLORADO",Full-Time,Southwest Research Institute,"Boulder, CO


View 2 more",CO,"Dearborn,Boulder,View2more"
359,Research Scientist,Full-Time,ACT,"Iowa City, IA",IA,"IowaCity,"
360,Validation Scientist-10920,Full-Time,Kelly Scientific Resources,"Congers, NY",NY,"Congers,"
361,Associate Scientist,Full-Time,Siplast,"Arkadelphia, AR",AR,"Arkadelphia,"
362,Assoc Scientist / Publication Associate,Contractor,Fortira Inc,"Gaithersburg, MD",MD,"Gaithersburg,"
363,Sr. Staff Scientist Immunology Laboratory Manager/Lead,Full-Time,Latitude Inc,"Rockville, MD",MD,"Rockville,"
364,"Microbiologist, Method Transfer and Validation Scientist",Full-Time,Eurofins,"Sanford, NC",NC,"Sanford,"
365,Research Scientist,Full-Time,Teledyne Technologies,"Durham, NC",NC,"Durham,"
366,Arc Research Scientist,Full-Time,Miller Electric,"Appleton, WI",WI,"Appleton,"
367,Chief Scientist,Full-Time,BAE Systems,"Burlington, MA",MA,"Burlington,"
368,"Environmental Specialist/Scientist - Hackberry/Lake Charles, LA",Full-Time,BUREAU VERITAS NORTH AMERICA,"Lake Charles, LA",LA,"LakeCharles,"
369,Lead TDM Scientist,Full-Time,WSP | Parsons Brinckerhoff,"Miami, FL",FL,"Miami,"
370,Environmental Engineer/Scientist/Geologist,Full-Time,GHD,"Edison, NJ",NJ,"Edison,"
371,"Principle Scientist, Medical Coding",Full-Time,EMD Serono,"Billerica, MA",MA,"Billerica,"
372,"Measurement Scientist, Optics and Project Manager",Full-Time,Corning,"Corning, NY",NY,"Corning,"
373,Pharmaceutical Scientist,Full-Time,Cherokee Nation Businesses,"Arlington, VA",VA,"Arlington,"
374,General Supervisor (Laboratory),Full-Time,Gulfstream Diagnostics LLC,"Dallas, TX",TX,"Dallas,"
375,Statistical Programming Scientist,Full-Time,QuintilesIMS,"Durham, NC


View 1 more",NC,"Dallas,Durham,View1more"
376,Biostatistician/Statistical Scientist United States Home or Office based,Full-Time,QuintilesIMS,"Durham, NC",NC,"Durham,"
377,Entry-level Research Laboratory Scientist,Full-Time,"QPS, LLC.","4949 Amber Valley Parkway

Fargo, ND",ND,"Durham,4949AmberValleyParkwayFargo,"
378,RESEARCH SCIENTIST - ANALYTICAL CHEMISTRY,Full-Time,Southwest Research Institute,"San Antonio, TX",TX,"SanAntonio,"
379,Scientist,Full-Time,Sirius Technical Services,"Sand Creek, MI",MI,"SandCreek,"
380,Entry Level - Environmental Geologist / Scientist,Full-Time,Antea®Group,"Baltimore, MD


View 1 more",MD,"SandCreek,Baltimore,View1more"
381,SCIENTIST - INORGANICS/RADIOCHEMISTRY,Full-Time,Southwest Research Institute,"San Antonio, TX",TX,"SanAntonio,"
382,Sr. Scientist,Full-Time,Arconic,"New Kensington, PA",PA,"NewKensington,"
383,Senior Patient Safety Scientist -pharmaceutical industry,Contractor,"TechData Service Company, LLC","Wilmington, DE",DE,"Wilmington,"
384,Flow Cytometry Scientist,Full-Time,Clinical Research Management,"Frederick, MD",MD,"Frederick,"
385,Environmental Engineer/Scientist I,Full-Time,Magna International,"Carrollton, GA",GA,"Carrollton,"
386,Clinical Laboratory Scientist - IRL,Full-Time,Blood Systems,"San Francisco, CA


View 1 more",CA,"Carrollton,SanFrancisco,View1more"
387,"Scientist II, Dosage Form Performance Lab",Full-Time,The United States Pharmacopeial Convention,"Rockville, MD",MD,"Rockville,"
388,Technical Application Scientist,Full-Time,Aerotek,"Fremont, CA",CA,"Fremont,"
389,Food Scientist,Full-Time | Pay: $20.00 - $24.00/hour,Aerotek,"Chicago, IL",IL,"Chicago,"
390,Environmental Scientist,Full-Time,Cardno USA Inc,"Austin, TX",TX,"Austin,"
391,RESEARCH ENGINEER - RESEARCH SCIENTIST - MATERIALS ENGINEERING,Full-Time,Southwest Research Institute,"San Antonio, TX",TX,"SanAntonio,"
392,Senior Colloidal Scientist,Full-Time,Arconic,"New Kensington, PA",PA,"NewKensington,"
393,Bench Scientist I,Full-Time,Insight Global,"Pearl River, NY",NY,"PearlRiver,"
394,Environmental Compliance Specialist (Scientist III),Full-Time,"EA Engineering, Science, and Technology Inc., PBC","Seattle, WA",WA,"Seattle,"
395,Bench Scientist I,Contractor,Apex Life Sciences,"Pearl River, NY",NY,"PearlRiver,"
396,Sr. Principal Research Scientist CCT Cyber Network Defense,Full-Time,BAE Systems,"Burlington, MA",MA,"Burlington,"
397,Assoc Princ Scientist Biostatistics,Full-Time,Aerotek,"Gaithersburg, MD",MD,"Gaithersburg,"
398,Scientist,Contractor,Ampcus Inc.,"Malvern, PA",PA,"Malvern,"
399,Optical Scientist,Full-Time,Corning,"Corning, NY",NY,"Corning,"
400,Microbiology Research Scientist,Full-Time,Clinical Research Management,"Frederick, MD",MD,"Frederick,"
401,Associate Scientist,Full-Time,Indiana University,"Bloomington, IN",IN,"Bloomington,"
402,"Scientist, Process Chemistry - NJ",Contractor,Apex Life Sciences,"Summit, NJ",NJ,"Summit,"
403,Scientist,Full-Time,Synectics,"Des Plaines, IL",IL,"DesPlaines,"
404,Subject Matter Expert Scientist - EHS,Full-Time,Vencore,"Arlington, VA


View 1 more",VA,"DesPlaines,Arlington,View1more"
405,Scientist - Molecular Pathology,Contractor,Apex Life Sciences,"South San Francisco, CA",CA,"SouthSanFrancisco,"
406,Process Scientist I,Contractor,Apex Life Sciences,"Fremont, CA",CA,"Fremont,"
407,Regulatory Scientist - Clinical Research,Full-Time,Technical Resources International,"Bethesda, MD",MD,"Bethesda,"
408,Environmental Scientist,Contractor,Apex Life Sciences,"Orange, CA",CA,"Orange,"
409,Microbiology Research Scientist,Full-Time,HackEd,"Frederick, MD",MD,"Frederick,"
410,Lab Assistant/Associate Scientist/Senior Scientist,Full-Time,Aerotek,"Morrisville, NC",NC,"Morrisville,"
411,Technical Operations Co-op,Full-Time,Johnson & Johnson,"Lancaster, PA",PA,"Lancaster,"
412,Merchandise Scientist,Full-Time,Advance Auto Parts,"Raleigh, NC",NC,"Raleigh,"
413,Research Scientist – DMPK,Full-Time,"QPS, LLC","110 Executive Drive

Newark, DE",DE,"Raleigh,110ExecutiveDriveNewark,"
414,Bench Scientist I,Contractor,Apex Life Sciences,"Richmond, VA",VA,"Richmond,"
415,Sr. Research Scientist – DMPK,Full-Time,"QPS, LLC.","110 Executive Drive

Newark, DE",DE,"Richmond,110ExecutiveDriveNewark,"
416,ASSOCIATE SCIENTIST - BIOANALYTICAL,Full-Time,"QPS, LLC.","3 Innovation Way

Newark, DE",DE,"Richmond,110ExecutiveDriveNewark,3InnovationWayNewark,"
417,Senior Clinical Scientist,Full-Time,Job Juncture,"Cambridge, MA",MA,"Cambridge,"
418,Scientist IV-Therapeutic Discovery,Full-Time,General Dynamics Information Technology,"Frederick, MD",MD,"Frederick,"
419,"Scientist III/IV, Instrumentation Support Analyst",Full-Time,The United States Pharmacopeial Convention,"Rockville, MD",MD,"Rockville,"
420,R&D Formulation Scientist (New Jersey or Illinois),Full-Time,"Akorn, Inc","Vernon Hills, NJ",NJ,"VernonHills,"
421,Mid-Level Scientist/Engineer,Full-Time,"Consolidated Safety Services, Inc","Durham, NC",NC,"Durham,"
422,Formulation Scientist I,Full-Time,Real Staffing,"Richmond, VA",VA,"Richmond,"
423,ENTRY-LEVEL MICROFLUIDICS LABORATORY SCIENTIST,Full-Time,Kelly Scientific Resources,"Norwood, OH",OH,"Norwood,"
424,"Manager, Business Analytics / Data Science",Full-Time | Pay: $120k - $130k/year,Network ESC,"NYC-Phila, NJ",NJ,"NYC-Phila,"
425,"Manager, Data Solutions",Full-Time,"Gannett Co., Inc.","McLean, VA",VA,"McLean,"
426,Application Developer,Full-Time,ADP - Automatic Data Processing,"Parsippany-Troy Hills, NJ


View 15 more",15,"McLean,Parsippany-TroyHills,Viewmore"
427,Data Scientists Modeling,Full-Time,Altair,"Dearborn, MI",MI,"Dearborn,"
428,Data Management Analyst (18243),Full-Time,Vencore,"Redstone Arsenal, AL",AL,"RedstoneArsenal,"
429,IoT Data Analyst,Full-Time,QTI Group,"Mount Horeb, WI",WI,"MountHoreb,"
430,Data Scientists Analysts,Full-Time,Altair,"Dearborn, MI


View 1 more",MI,"MountHoreb,Dearborn,View1more"
431,Principal Performance Engineer,Full-Time,ADP - Automatic Data Processing,"Alpharetta, GA",GA,"Alpharetta,"
432,Lead QA Engineer,Full-Time,ADP - Automatic Data Processing,"Alpharetta, GA


View 2 more",GA,"Alpharetta,Alpharetta,View2more"
433,Principal App Developer,Full-Time,ADP - Automatic Data Processing,"Parsippany-Troy Hills, NJ


View 2 more",NJ,"Alpharetta,Alpharetta,View2moreParsippany-TroyHills,View2more"
434,Lead Appl. Developer,Full-Time,ADP - Automatic Data Processing,"Alpharetta, GA


View 1 more",GA,"Alpharetta,Alpharetta,View2moreParsippany-TroyHills,View2moreAlpharetta,View1more"
435,Lead Application Developer,Full-Time,ADP - Automatic Data Processing,"Parsippany-Troy Hills, NJ",NJ,"Parsippany-TroyHills,"
436,Director of Data Science (Mid-town ATL Office),Full-Time | Pay: $140k - $155k/year,Lucas Group - Search,"Atlanta, GA",GA,"Atlanta,"
437,Data Science/Machine Learning Engineer,Full-Time,The Judge Group,"Milpitas, CA",CA,"Milpitas,"
438,Data and Metrics Administrator,Full-Time,Johnson & Johnson,"Carolina, PR


View 2 more",PR,"Milpitas,Carolina,View2more"
439,Data Architect,Full-Time,Kinetix Technology,"McLean, VA",VA,"McLean,"
440,Data Analysis Manager,Full-Time,Crowe Horwath LLP,"Chicago, IL


View 1 more",IL,"McLean,Chicago,View1more"
441,Data Science Fall 2017 Internship -Search,Full-Time,CareerBuilder,"Norcross, GA",GA,"Norcross,"
442,Data Research Associate (Data Engineer) - MA,Contractor,Apex Life Sciences,"Cambridge, MA",MA,"Cambridge,"
443,"Submarine Cable Planner, Data Manager – Boston, MA",Full-Time,Tetra Tech,"Boston, MA",MA,"Boston,"
444,Forensic Chemist I,Full-Time,NMS Labs,"Canutillo, TX",TX,"Canutillo,"
445,"Medical Technologist (MT or MLT), Full Time. Sign On Bonus!",Full-Time,Mercy,"Cassville, MO",MO,"Cassville,"
446,Subject Matter Expert- Drug Discovery,Full-Time,General Dynamics Information Technology,"Frederick, MD",MD,"Frederick,"
447,Big Data Technical Architect,Contractor | Pay: $70.00 - $80.00/hour,DISYS,"Plano, TX


View 1 more",TX,"Frederick,Plano,View1more"
448,Assistant Horticulturalist,Full-Time | Pay: $14k/year,Aerotek,"Marysville, OH",OH,"Marysville,"
